epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67881,2.30443,4.63586,1.81417,0.00061,0.18182,0.00037,0.00012,1.97046,5.05282,1.73186,0.0001,0.0001,0.0001
2,7.8718,1.79728,3.93767,1.53942,0.00242,0.72727,0.00443,0.00247,1.49254,4.21767,1.31564,0.000217822,0.000217822,0.000217822
3,8.71738,1.54443,2.89011,1.44365,0.00303,0.90909,0.05319,0.01697,1.35715,3.96077,1.29022,0.000333268,0.000333268,0.000333268
4,9.53845,1.51016,2.43691,1.32509,0.00303,0.90909,0.0543,0.02257,1.31718,3.9721,1.20461,0.000446338,0.000446338,0.000446338
5,10.345,1.49994,2.17246,1.27715,0.00303,0.90909,0.00617,0.00308,1.17747,3.97232,1.34309,0.000557032,0.000557032,0.000557032
6,11.1622,1.40818,1.97773,1.22429,0.00303,0.90909,0.00642,0.00363,1.30501,3.93733,1.19087,0.00066535,0.00066535,0.00066535
7,12.0349,1.37255,1.896,1.27194,0.00303,0.90909,0.00601,0.00311,1.27303,4.53496,1.25824,0.000771292,0.000771292,0.000771292
8,12.8739,1.27804,1.66871,1.21659,0.00303,0.90909,0.0177,0.00877,1.55278,9.50985,1.35227,0.000874858,0.000874858,0.000874858
9,13.7406,1.35587,1.66033,1.20401,0.00273,0.81818,0.02667,0.01322,1.46801,3.85159,1.38293,0.000976048,0.000976048,0.000976048
10,14.5056,1.37788,1.76833,1.24273,0.00273,0.81818,0.01352,0.00622,1.3961,4.20534,1.34982,0.00107486,0.00107486,0.00107486
11,15.2702,1.57201,1.74005,1.44229,0.00242,0.72727,0.01572,0.00726,1.48556,4.65486,1.42458,0.0011713,0.0011713,0.0011713
12,16.0301,1.3599,1.78066,1.30607,0.01021,0.72727,0.01546,0.00719,1.55576,4.00026,1.48459,0.00126536,0.00126536,0.00126536
13,16.852,1.30042,1.58856,1.21632,1,0.27687,0.63327,0.3662,1.84328,3.27799,1.49201,0.00135705,0.00135705,0.00135705
